date,name,info,results
12/Apr/2022,Board Intervals,5 minute AMRAP:boulders in your flash-range (flash grade PR plus 2 grades below)Rest 5 minutes3 sets,Did 1 set. Right shoulder has been very sore since Saturday and it flared up during this so decided to play it safe.
12/Apr/2022,Slow Squat,"With light weights (RPE 5)Very slowly move into a squat. Stay in the squatted position for 5-10 seconds, then return to a standing position.5 repsSuperset with slow overhead press",2x25lb dumbbells
12/Apr/2022,Slow Overhead Press,"With light weights (same weight as for slow squat)Very slowly lift the weight overhead. Stay locked out in the overhead press position for 5-10 seconds, then return the weight to your chest.5 repsSuperset with lunges",2x25lb dumbbells
12/Apr/2022,Slow Lunges,"With light weightsSlowly move into a lunge position. Hold the lunge position (stretching slightly forward/back) for 5-10 seconds, then return to standing. Switch sides.5 reps per sideRest 2 minutesRepeat whole superset for 2 sets total",2x25lb dumbbells
10/Apr/2022,"Rest, Project, or Workout repeat",,Easy climbing (V6 and below) at gym
9/Apr/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,Did this before work on Tuesday. Did Super Botslayer in 4 tries 🤙🤙🤙🤙🤙
9/Apr/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,125
9/Apr/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,Still no access to 10mm OTG edge so 20mm repeated
9/Apr/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,"Tried 100, but failed on LH. Think this is because Botslayer is 100% LH.Did 90 instead."
9/Apr/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,45
7/Apr/2022,Projecting,3-4 boulders15-20 minutes on each. Be detail oriented!,
7/Apr/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
7/Apr/2022,Right Down Left Down,"With your hands slightly wider than shoulder width apart, pull up at a diagonal and touch your chin to your right hand. Lower slowly.Repeat immediately but pull up to your left hand.5 reps per hand (10 total)Rest 2 minutes3 sets",
6/Apr/2022,AMRAP,As many reps as possible in 5 minutes of:-30 seconds pull-ups-30 seconds push-up burpeesScore is the number of completed pull-ups + number of completed push-up burpees,"44 pullups, 34 burpees"
6/Apr/2022,For Time,"Start the timer:-""Buy in"" of 10 ring dips. Then:30-20-10 reps of:-Bodyweight Squat-Overhead Press (15lb dumbbells per hand)-Hanging Toes to Bar","Hanging toes to bar made this very hard to me. I could do the first set of 30, but after that had to switch to hanging leg raises. Even then, finishing the ab portion added about 4 minutes at the end of the set. 10 mins total."
6/Apr/2022,EMOM,"5 minute Every Minute, On the Minute:-5 ring rows-5 ring push-ups",This was pretty easy
6/Apr/2022,Movement,"Hip PositionAs you climb today, pay special attention to your hips. When is it best to keep your hips in (closer to the wall)? When is it best to ""sag"" or keep your hips out? When is it best to twist? When is it best to keep your hips square?",
6/Apr/2022,Repeaters,"Half pad, half crimpBodyweightHang 10Rest 1010 repsrest 2 minutes3 sets",Had to rest 5 minutes between to be able to finish at 15mm
5/Apr/2022,Weighted Pull Ups,Rest to full recovery between setsRPE 610 repsX3RPE 78 repsX2RPE 86 repsX3,RPE 6 sets: BodyweightRPE 7 sets: 25RPE 8 sets: 50
5/Apr/2022,Deadlift,Rest to full recovery between setsRPE 610 repsX3RPE 78 repsX2RPE 86 repsX3,
5/Apr/2022,Limit Board Climbing,1 hour session1-2 limit boulders,With Kilter aboard at 50:Did all moves on The Sauce (V12) and Wagon Lite (V12) but could not complete either.
3/Apr/2022,"Rest, Project, or Workout repeat",,Rest
2/Apr/2022,Limit Bouldering,Outdoor preferred. Try 1 to 2 problems at your limit.Send me videos via messages,"My goal for today was to try The Anvil Sit, but my climbing friends are difficult to herd. Instead I: Tried Caddis Sit (V10) two times because a friend was trying Gyro Captain. Slipped off the terrible toe on the last move. (Video 1)Did Sleepy Hollow Sit (V10) second try, (Video 2)Tried The Hug Left a few times (Video 3), I stopped after another foot slipped ripped open my Lethal Design flapper."
2/Apr/2022,20mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,115
2/Apr/2022,10mm OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,No access to 10mm block. Had to do 20mm again instead.115lbs
2/Apr/2022,3-finger drag OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,90
2/Apr/2022,Wide Pinch OTGs,RPE 8Pick up and hold for a 5-countSwitch hands and repeatrest 1 minute2 sets,40
31/Mar/2022,Up Down Ups,"Choose a difficult problem you can barely flash. Climb it to the top, then climb back down using any holds, then try to repeat it.",
31/Mar/2022,Board Focus: Launch and Grab,"Choose or set a problem that requires you to cut feet on each move. Really focus on contact speed and precision. 3-4 different problems, 30-40 minutes of work.",
31/Mar/2022,Velocity Pull Ups,"Pull up as fast as you can, then lower down slowly.10 repsrest 2 minutes3 sets",
31/Mar/2022,Offset Pull-Ups,"Find a spot on the wall with a nice jug. Using that for your right hand and a smaller hold at waist height for your left, do 3 pull-ups.Switch hands and repeatRest 1 minute3 sets",
30/Mar/2022,Push-Up Frenchies,-Hold the top of a push-up position for 5 seconds-Lower to arms at 90 degrees and hold for 5 seconds-lower to chest right above the ground and hold for 5 seconds-push to 90 degrees and hold for 5 seconds-push to straight-arms and hold for 5 secondsRest 30 seconds3 sets,
30/Mar/2022,Narrow Grip Bench Press,Light weight (RPE 6)Grip the bar just inside of shoulder width5 repssuperset with WGBP,"135, 115, 115"
30/Mar/2022,Wide Grip Bench Press,"Same weight as NGBPGrip the bar just outside of shoulder width5 repsRest 1 minute, then return to NGBP3 sets","135, 115, 115"
30/Mar/2022,Overhead Press,RPE 810 repssuperset with dips,"35, 30, 25"
30/Mar/2022,Dips,"On rings (best) or bench:10 repsrest 1 minute, then return to OHP3 sets",
30/Mar/2022,Movement,"Light climb. Focus on big moves on good, comfortable holds. Eliminate matching as much as possible, do big pull-throughs.",
30/Mar/2022,Micro Hangs,"Half pad, half crimpbodyweight5 sec on / 10 sec off10 repsrest 2 minutes3 sets","Beast maker 2000 smallest edge (14mm), this is the smallest edge I had access to today. "
29/Mar/2022,Movement: Accuracy & Glue Hands,"As you climb today, focus on accuracy. Limit unnecessary adjustments as much as possible.",
29/Mar/2022,Board projecting,"On a training board, project 2-3 problems.","On Kilterboard at 45° did:It Goes in The Streets (V10, flash),Drawn and Quarantined (V10, 3 tries)Wagon Lite (V11, Flash(???)),King Corona (V11, 3 tries) - video in messages"
29/Mar/2022,Assisted 1APU,1-arm pull-ups on jugRPE 10 (weight off as needed)3 reps/armRest 2 minutes between sets3 sets,"Set 1: 0lbs,Set 2: 0lbs alternating,Set 3: 0lbs alternating.Will try without alternating next time."
29/Mar/2022,Campus Board 1-max-max,"Start matched on 1pull as far as you can leading with the RH, then pull through with your LH as far as you can (no matching)Repeat, leading with LHRest 1 minute3 sets",LH1: 1-5.5-7.5RH1: 1-5.5-8LH2: 1-5.5-8RH2: 1-5.5-8LH3: 1-5.5-8RH3: 1-5.5-8
29/Mar/2022,Campus Board 1-3-max-max,3 sets/hand,LH1: 1-3-6.5-8.5RH2: 1-3-6-8
29/Mar/2022,Campus Board 1-4-max-max,3 sets/hand,
27/Mar/2022,Have fun and try hard!,,"Home in Co. Too psyched from Red Rock so had to climb. I did Added Planet in Lory State Park. Did it 4th try. Put 2 new holes in my hands, adding to a total of 4 including the ones from Red Rock."
26/Mar/2022,Have fun and try hard!,,Flight home today
25/Mar/2022,Have fun and try hard!,,Crazy hot today. Did Monkey Wrench and Equinox at Red Spring. Both are easy but skin is wrecked and friction is non-existent.
24/Mar/2022,Have fun and try hard!,,Rest Day
23/Mar/2022,Have fun and try hard!,,"Tried Lethal Design and Book of Nightmares. Did most of the moves on Lethal, although obviously individual moves are not what makes this problem hard. Book felt impossible after baking in the sun. Both are awesome and I would like to come back to work them with better endurance and better conditions respectively."
22/Mar/2022,Have fun and try hard!,,Tried Wet Dream. Awesome. This is the problem I'm most psyched on in Red Rock. Did all moves up to the first big rail. Could not match it though. Not sure if it would feel better with better conditions or if I just need to be better at climbing. Maybe both. 
21/Mar/2022,Have fun and try hard!,,"Easing into climbing again today, trying to see whether my back can handle it or not. Did a few V2s and 3s and flashed Monkey Bar Right (V6). Held all positions on The Redirect and tried the big move a couple times. Felt possible but didn't want to push it."
20/Mar/2022,Have fun and try hard!,,
19/Mar/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,"Back was still extremely tweaky at this point so all I did today was stretch, ice, and heat"
18/Mar/2022,Rest,,
17/Mar/2022,Repeaters,Bodyweight20mm10 on / 10 off10 reps2 min rest3 sets,
17/Mar/2022,Easy Climbing,45-60 minutes. Focus on movement.,
16/Mar/2022,Rest,,
15/Mar/2022,Easy Climbing,45-60 minutes of easy climbing. Focus on movement.,
14/Mar/2022,Rest,,Went to Flagstaff with the goal of trying The Urinal today. Immediately tweaked my back trying to pull on. This is the same tweak I got from deadlifting.
13/Mar/2022,Free Exercise or Rest,,
12/Mar/2022,Goals,"Revisit your goals. What are you proud of that you achieved last cycle? What would you like to achieve this coming cycle (training metrics, climbing sends, mental/emotional barriers)?","I didn't rest today as I have been resting my tweaky back since Tuesday. Instead, I went to Flagstaff and did Reverse UCT, UCT into Bob's Bulge, and Botslayer. UCT and Botslayer I did 3rd and 2nd tries, respectively. I also flashed Battaglia's Bottom.I'm extremely proud of my growth as a climber over this cycle. Before 2021, I had done a total of 5 V10s, and each one was a siege requiring days of effort.  Right before I began this training program, I did my first V10 in one day, Witch Hunt, and I did it on the last go of the session.And as I noted above, today I did 2 V10s in a couple of tries, a V9 and flashed a V7 all in one day - by far the best day of climbing I've ever had. Last week, I did 6 V10s on the Kilter Board, including 4 flashes. Oh, and I did my first V11 in the fall. :D It's clear that the training is paying off. As for goals, I believe that V12 is on the horizon, and I would like to send one before the summer. And as a stretch goal, I think V13 ay be possible before the end of 2022. "
11/Mar/2022,Open Climb,Just a nice warm-up before your weighted pull-up and OTG testing.,
11/Mar/2022,Weighted Strict Pronated Pull-Up,-5 rep max pull-up.-Weight added with harness- Work up to a max with sets of:RPE 6RPE 6RPE 7RPE 8RPE 10-record RPE 10 weight,
11/Mar/2022,Max Wide Pinch OTG,"-Use a wide pinch (Tension Block outside edge works well).-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands",
11/Mar/2022,Max 20mm Crimp OTG,"Half crimp-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands",
11/Mar/2022,Max 3-Finger Drag OTG,"3-Finger Drag grip-single-hand ""deadlift"". Just get the weight ""off the ground""-How much weight can you pick up?-Record weight for both hands",
10/Mar/2022,Project,Message me some videos of attempts on your project(s).,
10/Mar/2022,Projecting,Your choice,
8/Mar/2022,Open Climb,Just a nice warm-up before your deadhang testing.,
8/Mar/2022,20mm deadhang,-Both hands-5 second hold-rest 1 min between hangs-Add weight and work up to an RPE 10.You should come to your RPE 10 within about 6 hangs.-record weight for strength metrics,Did 3/31 - 168.5 at 155lbs bodyweight. made it 4s at 175 and reduced weight for last set.
8/Mar/2022,15mm Deadhangs,"-Both hands (no weight added)-start timer-hang as long as you can-rest as long as your hang was (1:1 hang to rest ratio)-again, hang as long as you can (this time you will probably pump out a bit faster)-again, rest as long as your hang was the 2nd time-hang as long as you can for a 3rd time. This time you will probably pump out pretty quick!-record first, second, and thrid hang times.",1st Set: 56s2nd Set: 40s
8/Mar/2022,Single Arm Deadhangs,20mm edgeHow long can you hang?Record hang time for each arm.,Can barely hang at all. 4s right hand (started spinning)2s left hand
7/Mar/2022,Max pull-ups (1-minute),"-bodyweight.-set a 1-minute timer-resting on the ground is okay, but time continues to run!-record results so I can add them to your strength metrics chart",33 on hangboard jugs
7/Mar/2022,Max dips (1-minute),-bodyweight.-on rings or a bar-set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics.,51
7/Mar/2022,Max toes to bar (1-minute),"-bodyweight.-while hanging, raise your toes all the way to the bar, then back down to a hanging position. Repeat as many times as possible -set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics",21
7/Mar/2022,Open Climb,"Your choice. Project, board climb, or new boulders.","Kilterboard, did a bunch of V7s, 8s and one V10"
6/Mar/2022,"Rest, Project, or Workout repeat",,"Decided to Kilterboard today.Did 6 V10s at 50°, 4 of which were flashes 🤙🤙🤙. The other 2 I did 2nd and 3rd try."
5/Mar/2022,Send me videos in messages,,Did Dreamed Up (V9/10) in Boulder Canyon. Did 3rd try unexpectedly so didnt get a video. Next time I will!
3/Mar/2022,Overhead Squat,RPE 510 repssuperset with DBT,"Can't do this exercise with weight due to lower body imbalances, did with pvc pipe to work on form"
3/Mar/2022,Dumbbell Thruster,"RPE 510 reps*Complete this superset after each round of squat, then after each round of power clean (you will complete this superset a total of 12 times)",15
3/Mar/2022,Back Squat,RPE 88 repsmove to OHS/DBT superset6 sets total,115 
3/Mar/2022,Power Clean,RPE 88 repsmove to OHS/DBT superset6 sets total,
3/Mar/2022,Volume Bouldering,,
2/Mar/2022,1-min max pull-ups,"As many strict pull-ups as you can do in 1 minute. Resting is okay, but the timer continues to run.",30
2/Mar/2022,On-the-Wall Walk-Throughs,"-Grab two good holds (works best on an overhanging wall)-With your feet as low as possible, walk your feet in small steps from left to right, then back right.-Keep your hips in, core tight-Try to go for 90 seconds straight without stopping or resting.-3 sets, 2 minute rest between sets",
2/Mar/2022,On-The-Wall Campus,"Campus on good holds for 60-90 seconds straight. You don't need to do huge moves or big lockoffs, just try to keep moving and beat the clock!-3 sets, 2 minute rest between sets",60s each. Puuumped
2/Mar/2022,2X4,-Pick a climb right at your flash limit.-Climb it 2X in a row.-Rest 2 minutes-4 sets,4xV8 Fell on 2nd rep of 3rd set and 4th set (last move both times from pump)
1/Mar/2022,Overhead Press,RPE 510 repsSuperset with RDL,25x6sets
1/Mar/2022,Romanian Deadlift,"RPE 510 repsSuperset with OHP*Complete this superset after each round of bench, then after each round of deadlift (you will complete this superset a total of 12 times)",135x6 sets
1/Mar/2022,Bench Press,RPE 88 repsmove to OHP/RDL superset6 sets total,115
1/Mar/2022,Deadlift,RPE 88 repsmove to OHP/RDL superset6 sets total,
1/Mar/2022,Limit Bouldering,,
28/Feb/2022,End Freeze,,
7/Feb/2022,begin freeze,,
6/Feb/2022,Indoor or outdoor projecting/volume work,,
5/Feb/2022,Indoor or outdoor projecting/volume work,,
4/Feb/2022,Back Squat,RPE 58 repsrest 2 minutes8 repsrest 2 minutes & load weight to RPE 7RPE 76 repsrest 2 minutes & load weight to RPE 9RPE 93 repsrest 2 minutes & unload weight to RPE 7RPE 75 repsRest 2 minutes5 repsdone,
4/Feb/2022,Strict Press,RPE 58 repsrest 2 minutes8 repsrest 2 minutes & load weight to RPE 7RPE 76 repsrest 2 minutes & load weight to RPE 9RPE 93 repsrest 2 minutes & unload weight to RPE 7RPE 75 repsRest 2 minutes5 repsdone,
4/Feb/2022,Circuit,For time:30 thrusters with the bar (45 lbs),
4/Feb/2022,Weighted Hangs,20mm edgesRPE 910 on20 off5 repsrest 2 minutes3 sets,
3/Feb/2022,Indoor or Outdoor Projecting,Focus on just 1 or 2 problems. Only move on if you send them!,
1/Feb/2022,Hangs,RPE 8 (weight added if needed)20mm edges10 on20 off10 setsrest 2 minutes3 sets,
1/Feb/2022,Open Climb,Your Choice,
31/Jan/2022,4 on / 4 off Challenge,"Choose 4 boulders that:1. ideally you haven't tried before2. will be a good challenge to send quickly (should be right at or above your flash limit)-Start a timer for 4 minutes. Work the first problem and try to send it in that amount of time.-When the timer goes off, you have another 4 minutes to rest-Repeat for all 4 boulders.",
31/Jan/2022,Up Down Up,Choose 4 boulders you can flash1. Climb up the problem2. Climb back down to the start holds using any other holds3. Climb back up the problemRest 2 minutesMove on to the next boulder,
30/Jan/2022,Indoor or outdoor projecting/volume work,,
29/Jan/2022,Indoor or outdoor projecting/volume work,,
28/Jan/2022,Deadlift,RPE 58 repsrest 2 minutes8 repsrest 2 minutes & load weight to RPE 7RPE 76 repsrest 2 minutes & load weight to RPE 9RPE 93 repsrest 2 minutes & unload weight to RPE 7RPE 75 repsRest 2 minutes5 repsdone,
28/Jan/2022,Bench Press,RPE 58 repsrest 2 minutes8 repsrest 2 minutes & load weight to RPE 7RPE 76 repsrest 2 minutes & load weight to RPE 9RPE 93 repsrest 2 minutes & unload weight to RPE 7RPE 75 repsRest 2 minutes5 repsdone,
28/Jan/2022,Circuit,For time:40 push-up burpees,
28/Jan/2022,Hangs,20mm edges10 on 10 off10 repsrest 2 minutes3 sets,
27/Jan/2022,Indoor or Outdoor Projecting,Focus on just 1 or 2 problems. Only move on if you send them!,
25/Jan/2022,OTW Campusing,Choose 5 boulders you can campus.-Campus the first boulder 2X in a row.-Rest 2 minutes-Repeat for all 5 boulders,
25/Jan/2022,Campus Make-Ups,Create 3 boulders to campus. Make sure:1. They are 5 moves or less2. You can stick each move3. You can't flash the problem.,
25/Jan/2022,Hangs,20mm edges10 on10 offX10Rest 2 minutes2 sets,
24/Jan/2022,4X4,Choose 4 easy-ish (2-3 grades less than flash limit) climbs.Climb the first problemRest 2 minutesRepeat for 4 total repsRest 2 minutesRepeat for each of the other 3 climbs,
24/Jan/2022,Mini ARC,"On moderate terrain, climb 2 minutes in a row without restingRest 1 minute3 sets",
24/Jan/2022,Minimal Rest Max Out,Climb as many problems at or below your flash limit with only 1 minute of rest between each try. Only try each problem once.,
23/Jan/2022,Indoor or outdoor projecting/volume work,,
22/Jan/2022,Indoor or outdoor projecting/volume work,,
21/Jan/2022,HIIT Run,"Run at an RPE 8 for 1 minute, then jog/fast walk for 30 seconds.8 repsrest 2 minutes3 sets",
21/Jan/2022,Overhead Press,RPE 810 repsmove to bench dips3 sets,
21/Jan/2022,Bench Dips,RPE 810 repsreturn to OHP3 sets,
21/Jan/2022,Wide Push-Ups,Bodyweight10 repsmove to narrow push-ups3 sets,
21/Jan/2022,Narrow Push-Ups,Bodyweight5 repsreturn to wide push-ups3 sets,
21/Jan/2022,Goblet Squat,RPE 810 repsmove to hamstring curls3 sets,
21/Jan/2022,Hamstring Curls,"With back on the ground and heels up on a bench (easier) or yoga ball (harder), dig your heels in and bring your hips up to be even with your heel. Holding weight at your hips will increase resistance.RPE 810 repsretrun to squat3 sets",
20/Jan/2022,Indoor or Outdoor Projecting,Focus on just 1 or 2 problems. Only move on if you send them!,
18/Jan/2022,Repeaters,30mm edgesHang 10Rest 1010 repsrest 2 minutes3 sets,
18/Jan/2022,Open Climb,Your choice,
17/Jan/2022,5 on / 5 off Challenge,"Choose 5 boulders that:1. ideally you haven't tried before2. will be a good challenge to send quickly (should be right at or above your flash limit)-Start a timer for 5 minutes. Work the first problem and try to send it in that amount of time.-When the timer goes off, you have another 5 minutes to rest-Repeat for all 5 boulders.",
17/Jan/2022,V Point Challenge,"In 30 minutes, compile as many V-points as you can. No repeats. Before you start, what do you think is an achieveable goal for the time allowed?",
16/Jan/2022,Indoor or outdoor projecting/volume work,,
15/Jan/2022,Indoor or outdoor projecting/volume work,,
14/Jan/2022,HIIT Run,"Run at an RPE 8 for 1 minute, then jog/fast walk for 30 seconds.8 repsrest 2 minutes3 sets",
14/Jan/2022,Overhead Press,RPE 810 repsmove to bench dips3 sets,
14/Jan/2022,Bench Dips,RPE 810 repsreturn to OHP3 sets,
14/Jan/2022,Wide Push-Ups,Bodyweight10 repsmove to narrow push-ups3 sets,
14/Jan/2022,Narrow Push-Ups,Bodyweight5 repsreturn to wide push-ups3 sets,
14/Jan/2022,Goblet Squat,RPE 810 repsmove to hamstring curls3 sets,
14/Jan/2022,Hamstring Curls,"With back on the ground and heels up on a bench (easier) or yoga ball (harder), dig your heels in and bring your hips up to be even with your heel. Holding weight at your hips will increase resistance.RPE 810 repsretrun to squat3 sets",
13/Jan/2022,Indoor or Outdoor Projecting,Focus on just 1 or 2 problems. Only move on if you send them!,
11/Jan/2022,On the Wall Campusing,Choose 5 boulders you can campus.-Campus the first boulder 2X in a row.-Rest 2 minutes-Repeat for all 5 boulders,
11/Jan/2022,Big Move Projecting,"Using good holds, try or create 3 projects. Ideally, these projects have:-big moves for you (get spread out!)-Just 6-8 moves long-Possible to send, but will take a bit of work.Spend 20-30 minutes projecting each one. As you are trying these problems, think about what works and what doesn't. What allows you to get a bit further? What is holding you back from sticking the moves?",
11/Jan/2022,Pull-ups,3 sets:Set 1: Add weight to an RPE 8 and do as many pull-ups as you ca in a row.Rest 2 minutesSet 2: Subtract weight to an RPE 5 and do as many pull-ups as you can in a row.Rest 2 minutes.Set 3: Do as many bodyweight pull-ups as you can in a row.,
10/Jan/2022,Up Down Ups,"Find a problem that you can flash with some difficulty (RPE 6).Climb up that problem, then downclimb using any holds back to the start-hold. Then try to climb it again.Rest 5 minutes.3 sets",
10/Jan/2022,2X4,"Find a different problem you can flash with quite a bit of difficulty (RPE 8).Climb it twice in a row (dropping from the top, then immediately getting back on the start hold).Rest 2 minutes.4 sets.",
9/Jan/2022,Have fun! Climb when you can!,,
8/Jan/2022,Have fun! Climb when you can!,,
7/Jan/2022,Have fun! Climb when you can!,,
6/Jan/2022,Have fun! Climb when you can!,,
5/Jan/2022,Have fun! Climb when you can!,,
4/Jan/2022,Have fun! Climb when you can!,,
3/Jan/2022,Have fun! Climb when you can!,,
2/Jan/2022,Have fun! Climb when you can!,,
1/Jan/2022,Have fun! Climb when you can!,,
31/Dec/2021,Have fun! Climb when you can!,,
30/Dec/2021,Have fun! Climb when you can!,,
29/Dec/2021,Have fun! Climb when you can!,,
28/Dec/2021,Have fun! Climb when you can!,,
27/Dec/2021,Have fun! Climb when you can!,,
26/Dec/2021,Have fun! Climb when you can!,,
25/Dec/2021,Free Exercise or Rest,,
23/Dec/2021,Windshield Wipers,Hanging from bar10 reps/side (bodyweight)3 sets1 minute rest between sets,
23/Dec/2021,Weighted Sorensen,"10 reps at 8 RPE (80% effort)3 sets1 minute rest between sets-If you don't have a Sorensen machine, a bench also works. You can also lay flat on the ground although it's not as ideal",
23/Dec/2021,Campus Board: 1-5-max,Use large crimp rungs (around 30mm)Record max pull per hand.Example:LH: 1-5-7.5RH: 1-5-8,
23/Dec/2021,Campus Board: 1-bump max,Large crimp rungsRecord max bump pull per handExample:LH lead: 1-2-3-4-5-6-6.5RH lead: 1-2-3-4-5-6,
23/Dec/2021,Campus Board: 1-max,Large crimp rungsRecord max pull per handExample:LH: 1-5RH: 1-5,
22/Dec/2021,Banded Frog,"Use dumbbell, straight-bar, or band for resistance. Should be RPE 5-6 (50-60% effort). This looks funny, but it's great for the hips, hammies, and glutes!3 sets10 reps1 minute rest between setsrecord weight used",
22/Dec/2021,Goblet Squat,RPE 5-6 (50-60% effort)3 sets10 reps1 minute rest between setsrecord weight used,
22/Dec/2021,Single Leg Glute Bridge,Put base leg up on a bench (easier) or yoga ball (harder)Hold 20 seconds per leg3 sets1 minute rest between sets,
22/Dec/2021,Dumbbell Fly,10 reps (RPE 6 or 60% effort)3 setsfull recovery between sets,
22/Dec/2021,Dumbbell Row,Light weight (RPE 6 or 60% effort)10 reps3 setsfull recovery between sets,
22/Dec/2021,Ring Support Hold,30 second hold3 setsfull recovery between sets,
22/Dec/2021,Stretch and Foam Roll,,
21/Dec/2021,20mm deadhang,-Both hands max WEIGHT-5 second hold-rest 1 min between hangs-Work up to an RPE 10. You should come to your max within 6 hangs.-record weight for strength metrics,
21/Dec/2021,15mm Deadhangs,"-Both hands max TIME-start timer-hang as long as you can-rest as long as your hang was (1:1 hang to rest ratio)-again, hang as long as you can (this time you will probably pump out a bit faster)-again, rest as long as your hang was the 2nd time-hang as long as you can for a 3rd time. This time you will probably pump out pretty quick!-record first and last hang times.",
21/Dec/2021,Max Dumbbell Overhead Press (5 RM),"-5 rep max-with a dumbbell in each hand.-should take 3-4 sets to work up to top set-record best lift (total weight combined, so if I had a 30 lb dumbell in each hand, total weight would be 60 lbs)",
21/Dec/2021,Handstand Hold,"-Start timer-Handstand against wall for as long as possible-DO NOT GO LONGER THAN 1-minute. If you reach 1-minute, come down and rest before handstand push-ups-If you reach 1-minute, after a full rest, do as many handstand push-ups as you can in 1-minute.",
21/Dec/2021,Climb,"Your choice. Project, board climb, or new boulders.",
20/Dec/2021,Max pull-ups (1-minute),"-bodyweight.-set a 1-minute timer-resting on the ground is okay, but time continues to run!-record results so I can add them to your strength metrics chart",
20/Dec/2021,Max dips (1-minute),-bodyweight.-on rings or a bar-set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics.,
20/Dec/2021,Max toes to bar (1-minute),"-bodyweight.-while hanging, raise your toes all the way to the bar, then back down to a hanging position. Repeat as many times as possible -set a 1-minute timer-resting on the ground is okay but time continues to run!-record results for strength metrics",
20/Dec/2021,Max Alternating Dumbbell Snatches (1-minute),-Goal should be 30 lb dumbbells (RX)-1 minute time limit-resting is okay but time continues to run!-record results for strength metrics,
18/Dec/2021,20mm Max Repeaters,BodyweightHang as long as possiblerest as long as you hanged (1:1 ratio)Repeat for 3 hangs.,
18/Dec/2021,Jug Frenchies,Deadhang 5 seconds90 degree angle 5 secondsfull lockoff 5 seconds90 degree angle 5 secondsDeadhang 5 secondsRest 1 minute5 sets,
18/Dec/2021,30mm Max Repeaters,BodyweightHang as long as possiblerest as long as you hanged (1:1 ratio)Repeat for 3 hangs.,
17/Dec/2021,Boulder Make-Ups,"Make up 3 boulders that have:-4-6 moves-you can flash every move, but...-you can't send it first go-Take a photo of your projects so you can remember for next time!",
17/Dec/2021,Weakness Work,,
15/Dec/2021,Dumbbell Thruster,-Medium weights (see video)-30 seconds-into surrenders,25lbs per hand
15/Dec/2021,Surrenders,"-no weights to start, but you may add a weight if too easy-30 total reps-into Squat Jacks",
15/Dec/2021,Squat Jacks,-30 Seconds--Rest 30 seconds-Return to Dumbell Thruster-Do entire round 3X,
15/Dec/2021,Plank jump in,"-bring toes in as close to your hands as possible, then back out to plank-keep back straight in plank out (almost tucked feeling) to really engage abs-30 seconds-into glute bridge immediately",
15/Dec/2021,Glute Bridge,-30 reps slowly-into glute bridge PULSE,
15/Dec/2021,Glute Bridge,-30 seconds pulsing--Rest 30 seconds-Return to Plank Jump In-Do entire round 3X,
15/Dec/2021,High Knees,-30 seconds-into dumbbell kettle bell swings,
15/Dec/2021,Dumbbell Russian Kettlebell Swing,-choose medium to heavy dumbbell or kettle bell-see video-30 seconds-into plank knee taps,44lb kettlebell
15/Dec/2021,Plank Knee Taps,--Rest 30 seconds-Return to High Knees-Do entire round 3X,
14/Dec/2021,10 on/10 off,"Edge size depends on round number (1st round is 30mm, 2nd round is 20mm, 3rd round is 15mm, then work back up to 30mm)10 seconds on10 seconds offX10 in a row",
14/Dec/2021,Wrist Extension,superset immediately after 10 on/10 offcomfortable weight (RPE 4-5)10 reps/hand,15lbs
14/Dec/2021,finger extensions,superset immediately after wrist extensioncomfortable intensity (RPE 4-5)20 extensions per hand,
14/Dec/2021,Repeat 5X,"-Rest 2-3 minutes before beginning 10 on/10 off and working your way back down again.-Each set will get progressively harder: 30mm for 1st hang, 20mm for 2nd hang, 15mm for 3rd hang (3 sets total), then easier for the 4th and 5th hang (20mm and 30mm respectively",
14/Dec/2021,Open Climb,,Climbed at LCC. Had a friend who climbs ~V10 show me his projects (5 climbs) on the spray wall. I did all of them in 1 to 2 tries. It felt good. 
13/Dec/2021,Hanging Leg Lift,-hanging from a bar.-10 reps-move on to V-ups immediately,
13/Dec/2021,V-Ups,-see video-15 reps-rest 1 minute-move back to hanging leg lift-3 complete sets,
